title,totalScore,reviewsCount,location/lat,location/lng,neighborhood,url,Kecamatan,Jiwa/km²,nearby_alfamart,second_nearby_alfamart,cluster
Indomaret Sukabangun,3.5,15,-2.9354308,104.7351833,Sukarami,https://www.google.com/maps/search/?api=1&query=Indomaret%20Sukabangun&query_place_id=ChIJefkWUgh1Oy4RX0656TvRZxU,Sukarami,5295,1,0,0
Indomaret Pangadilan tinggi,3.7,3,-2.9270941,104.7143096,Alang-Alang Lebar,https://www.google.com/maps/search/?api=1&query=Indomaret%20Pangadilan%20tinggi&query_place_id=ChIJvyTzutJ1Oy4Riutg7Irj2fk,Alang-Alang Lebar,4823,1,0,0
Indomaret,4.4,18,-2.9336748,104.7159093,Alang-Alang Lebar,https://www.google.com/maps/search/?api=1&query=Indomaret&query_place_id=ChIJg20mDGZ0Oy4RIkuS-A6c7TI,Alang-Alang Lebar,4823,1,0,0
Indomaret,4.3,57,-2.9279732,104.7164455,Sukarami,https://www.google.com/maps/search/?api=1&query=Indomaret&query_place_id=ChIJ23DssXp0Oy4Rj1AgNFNlRV8,Sukarami,5295,1,0,0
Indomaret Kebun Bunga,4.2,40,-2.9192693,104.7164608,Sukarami,https://www.google.com/maps/search/?api=1&query=Indomaret%20Kebun%20Bunga&query_place_id=ChIJJ3Q9BXh0Oy4RSkt_Q1HQvr0,Sukarami,5295,1,0,0
Indomaret Sukajaya,4.3,4,-2.9209065,104.740837,Sukarami,https://www.google.com/maps/search/?api=1&query=Indomaret%20Sukajaya&query_place_id=ChIJRRHsywZ2Oy4RWio8stRFce0,Sukarami,5295,0,0,1
Indomaret Sukawinatan,4.4,173,-2.926484,104.749189,Sukarami,https://www.google.com/maps/search/?api=1&query=Indomaret%20Sukawinatan&query_place_id=ChIJw8SgIRsQRQURwLetBRo_kxs,Sukarami,5295,1,0,0
Indomaret Letkol Adrians,4.5,119,-2.9317583,104.7350049,Sukarami,https://www.google.com/maps/search/?api=1&query=Indomaret%20Letkol%20Adrians&query_place_id=ChIJiUy4Xex1Oy4Rdc9TjWxp_YA,Sukarami,5295,1,0,0
Indomaret Hasanudin,4.5,58,-2.9293155,104.6964105,Alang-Alang Lebar,https://www.google.com/maps/search/?api=1&query=Indomaret%20Hasanudin&query_place_id=ChIJqWBYg490Oy4R-Blezp7nIis,Alang-Alang Lebar,4823,0,0,1
Indomaret Sersan Sani,4.2,17,-2.9467495,104.7487145,Kemuning,https://www.google.com/maps/search/?api=1&query=Indomaret%20Sersan%20Sani&query_place_id=ChIJtRWTWyZ0Oy4RNSXOHjgN0_g,Kemuning,12621,0,0,1
Indomaret Talang Kelapa 2,4.4,166,-2.9355412,104.6921957,Alang-Alang Lebar,https://www.google.com/maps/search/?api=1&query=Indomaret%20Talang%20Kelapa%202&query_place_id=ChIJg_vmW5J0Oy4R7ZQQiUCTzuc,Alang-Alang Lebar,4823,0,0,1
Indomaret Ganda Subrata 86,4.7,32,-2.9304698,104.7454397,Sukarami,https://www.google.com/maps/search/?api=1&query=Indomaret%20Ganda%20Subrata%2086&query_place_id=ChIJuR8Yr0p1Oy4RW09ldRBkOus,Sukarami,5295,0,0,1
Indomaret Maskarebet 2,4.5,237,-2.9284675,104.6994543,Alang-Alang Lebar,https://www.google.com/maps/search/?api=1&query=Indomaret%20Maskarebet%202&query_place_id=ChIJu3Jl_oV0Oy4RbsETrWJ_qBA,Alang-Alang Lebar,4823,1,0,0
Indomaret Sulaiman Amin 18,4.5,130,-2.9417053,104.7094577,Alang-Alang Lebar,https://www.google.com/maps/search/?api=1&query=Indomaret%20Sulaiman%20Amin%2018&query_place_id=ChIJwZgTtTh1Oy4RSmijfINK000,Alang-Alang Lebar,4823,1,0,0
Indomaret,4.5,70,-2.9397726,104.7430205,Sukarami,https://www.google.com/maps/search/?api=1&query=Indomaret&query_place_id=ChIJWVwsZFYFRQURP7xT8h0wq10,Sukarami,5295,1,0,0
Indomaret Perindustrian 2,4.4,205,-2.922602,104.720176,Sukarami,https://www.google.com/maps/search/?api=1&query=Indomaret%20Perindustrian%202&query_place_id=ChIJ007W2HZ0Oy4Rm2Tlx8kxEFE,Sukarami,5295,1,1,2
