gender_encoded,organization_encoded,extracurricular_encoded,origin_jhs_encoded,address_encoded,parent_status_encoded,father_edu_encoded,father_work_encoded,mother_edu_encoded,mother_work_encoded,scholarship_encoded,house_status_encoded,final_score,final_score_cat,rata_rata_nilai,n_agama,n_pkn,n_bindo,n_mat,n_bing,n_por,n_bjawa,n_kejuruan,n_sikap,n_agama_normalized,n_pkn_normalized,n_bindo_normalized,n_mat_normalized,n_bing_normalized,n_por_normalized,n_bjawa_normalized,n_kejuruan_normalized,n_sikap_normalized,absences,family_size,total_family_income
1,0,0,0,1,1,9,10,7,11,1,0,,,87.25,95,83,92,82,81,88,89,88,,1.4367324724597803,-0.05368984235559793,1.8273292753637391,-0.3016562002530476,-1.0773640014117105,0.7939450754234343,0.824218927580784,0.5567714540354478,,1,4,0.0
1,0,0,0,1,1,7,11,6,9,1,1,,,87.375,96,82,89,82,82,90,88,90,,1.6175917366400114,-0.5880910639415211,0.9551022160451366,-0.3016562002530476,-0.768618241382107,1.4934993570111441,0.3790887054929925,1.6253731685070747,,1,4,0.0
1,0,0,0,1,1,7,3,7,1,0,1,,,88.75,95,82,91,86,88,91,88,89,,1.4367324724597803,-0.5880910639415211,1.5365869222575383,0.9250312459066155,1.0838563187955144,1.8432764978049991,0.3790887054929925,1.0910723112712613,,0,4,0.0
1,0,0,0,0,1,7,1,7,1,0,1,,,90.125,97,83,91,90,91,89,90,90,,1.7984510008202426,-0.05368984235559793,1.5365869222575383,2.1517186920662787,2.010093598884325,1.1437222162172893,1.2693491496685754,1.6253731685070747,,2,5,0.0
1,0,0,0,1,1,7,10,7,9,0,2,,,86.625,92,82,88,84,80,91,90,86,,0.894154679919087,-0.5880910639415211,0.6643598629389358,0.3116875228267839,-1.3861097614413143,1.8432764978049991,1.2693491496685754,-0.5118302604361792,,5,6,0.0
1,0,0,0,0,1,2,1,1,1,0,1,,,85.875,84,83,89,86,81,87,88,89,,-0.5527194335227621,-0.05368984235559793,0.9551022160451366,0.9250312459066155,-1.0773640014117105,0.4441679346295793,0.3790887054929925,1.0910723112712613,,1,4,0.0
1,0,1,0,1,1,6,0,7,0,1,2,,,87.125,95,82,88,82,83,88,89,90,,1.4367324724597803,-0.5880910639415211,0.6643598629389358,-0.3016562002530476,-0.45987248135250347,0.7939450754234343,0.824218927580784,1.6253731685070747,,2,4,0.0
1,0,0,0,1,1,4,1,1,9,0,1,,,87.75,93,82,90,86,82,91,89,89,,1.075013944099318,-0.5880910639415211,1.2458445691513376,0.9250312459066155,-0.768618241382107,1.8432764978049991,0.824218927580784,1.0910723112712613,,3,5,0.0
1,0,0,0,0,1,9,0,9,0,1,1,,,84.875,95,82,84,78,79,87,88,86,,1.4367324724597803,-0.5880910639415211,-0.49860954948586766,-1.5283436464127107,-1.6948555214709178,0.4441679346295793,0.3790887054929925,-0.5118302604361792,,4,4,0.0
1,0,0,0,1,1,9,0,9,2,1,1,,,84.0,94,81,79,80,79,87,89,83,,1.2558732082795492,-1.1224922855274442,-1.952321315016872,-0.9149999233328792,-1.6948555214709178,0.4441679346295793,0.824218927580784,-2.11473283214362,,4,4,0.0
1,0,1,0,1,1,2,1,3,1,0,1,,,86.75,88,82,91,88,87,82,89,87,,0.17071762319816244,-0.5880910639415211,1.5365869222575383,1.538374968986447,0.7751105587659107,-1.3047177693396956,0.824218927580784,0.02247059679963432,,2,3,0.0
1,0,0,0,1,1,7,10,7,9,0,1,,,84.375,93,83,79,78,83,84,89,86,,1.075013944099318,-0.05368984235559793,-1.952321315016872,-1.5283436464127107,-0.45987248135250347,-0.6051634877519856,0.824218927580784,-0.5118302604361792,,0,5,0.0
1,0,0,0,1,1,7,6,3,9,0,2,,,87.25,95,82,88,85,85,87,89,87,,1.4367324724597803,-0.5880910639415211,0.6643598629389358,0.6183593843666997,0.15761903870670363,0.4441679346295793,0.824218927580784,0.02247059679963432,,2,5,0.0
1,0,0,0,1,1,6,0,6,9,0,2,,,87.5,95,82,95,84,81,86,89,88,,1.4367324724597803,-0.5880910639415211,2.6995563346823417,0.3116875228267839,-1.0773640014117105,0.09439079383572432,0.824218927580784,0.5567714540354478,,0,4,0.0
0,1,1,0,1,1,7,10,1,9,0,1,,,85.0,94,81,85,78,81,87,89,85,,1.2558732082795492,-1.1224922855274442,-0.2078671963796668,-1.5283436464127107,-1.0773640014117105,0.4441679346295793,0.824218927580784,-1.0461311176719927,,5,4,0.0
1,0,0,0,1,1,7,0,0,1,0,1,,,88.0,96,83,91,86,82,88,90,88,,1.6175917366400114,-0.05368984235559793,1.5365869222575383,0.9250312459066155,-0.768618241382107,0.7939450754234343,1.2693491496685754,0.5567714540354478,,1,4,0.0
1,0,0,0,1,1,7,6,7,1,0,2,,,85.25,91,81,80,85,81,88,90,86,,0.7132954157388558,-1.1224922855274442,-1.6615789619106711,0.6183593843666997,-1.0773640014117105,0.7939450754234343,1.2693491496685754,-0.5118302604361792,,5,4,0.0
