,n_sikap_A,n_kejuruan,mother_work_Lainnya,n_mat,n_por,n_agama,n_bjawa,mother_salary_Sangat Rendah,father_salary_Tidak Berpenghasilan,n_bindo,extracurricular_tidak,father_edu_SMP sederajat,father_work_Buruh,mother_salary_Cukup Rendah,mother_work_Buruh,Actual_final_score
70,1,0.615384615384615,0,0.5,0.6111111111111116,0.8000000000000003,0.8571428571428568,0,0,0.833333333333333,0,0,1,0,0,1
439,1,0.6923076923076925,0,0.6000000000000005,0.6111111111111116,0.9199999999999999,0.5714285714285712,0,0,0.6111111111111107,1,0,0,0,0,1
67,0,0.38461538461538414,0,0.40000000000000036,0.6111111111111116,0.6400000000000001,0.7857142857142856,0,1,0.16666666666666696,1,0,0,1,0,0
853,0,0.7692307692307692,0,0.2999999999999998,0.3888888888888893,0.6400000000000001,0.4285714285714288,0,0,0.3888888888888884,0,0,0,0,0,1
517,0,0.6923076923076925,0,0.15000000000000036,0.5555555555555562,0.7600000000000002,0.5714285714285712,0,0,0.5,1,0,0,0,0,1
469,0,0.6923076923076925,0,0.15000000000000036,0.5555555555555562,0.20000000000000018,0.6428571428571423,0,0,0.5555555555555554,1,0,1,0,1,0
748,0,0.615384615384615,0,0.5,0.666666666666667,0.3999999999999999,0.4285714285714288,0,0,0.3888888888888884,0,0,0,0,0,1
490,1,0.6923076923076925,0,0.7999999999999998,0.6111111111111116,0.48,0.9285714285714288,0,0,0.6111111111111107,1,0,0,0,0,1
210,0,0.4615384615384617,0,0.4500000000000002,0.3888888888888893,0.3599999999999999,0.7857142857142856,0,0,0.3888888888888884,1,0,0,1,0,0
830,0,0.615384615384615,0,0.2999999999999998,0.3888888888888893,0.16000000000000014,0.35714285714285676,0,0,0.3888888888888884,1,1,1,0,0,0
28,1,0.8461538461538458,0,0.35000000000000053,0.8333333333333339,0.8399999999999999,0.7142857142857144,0,0,0.6666666666666661,1,0,0,0,0,1
250,0,0.4615384615384617,0,0.4500000000000002,0.6111111111111116,0.2400000000000002,0.7142857142857144,0,0,0.33333333333333304,1,0,0,1,0,0
171,0,0.5384615384615383,0,0.25,0.666666666666667,0.43999999999999995,0.7142857142857144,0,0,0.3888888888888884,1,0,1,0,0,0
626,0,0.615384615384615,0,0.40000000000000036,0.5,0.52,0.5714285714285712,0,0,0.3888888888888884,1,0,0,0,0,1
760,0,0.6923076923076925,0,0.25,0.5,0.3599999999999999,0.4285714285714288,0,0,0.33333333333333304,1,0,0,0,0,0
738,0,0.6923076923076925,0,0.35000000000000053,0.3888888888888893,0.1200000000000001,0.4285714285714288,0,0,0.5,1,0,0,0,0,0
812,0,0.615384615384615,0,0.10000000000000009,0.3888888888888893,0.28000000000000025,0.35714285714285676,0,0,0.44444444444444464,1,0,0,0,0,0
555,0,0.8461538461538458,0,0.40000000000000036,0.666666666666667,0.43999999999999995,0.5714285714285712,0,0,0.6111111111111107,1,1,0,1,0,1
761,0,0.6923076923076925,0,0.40000000000000036,0.6111111111111116,0.3599999999999999,0.4285714285714288,0,0,0.6111111111111107,1,0,0,0,0,1
543,0,0.4615384615384617,0,0.15000000000000036,0.3333333333333339,0.1200000000000001,0.4285714285714288,0,0,0.33333333333333304,1,1,1,0,1,0
773,0,0.615384615384615,0,0.40000000000000036,0.3888888888888893,0.3599999999999999,0.4285714285714288,0,0,0.6111111111111107,1,0,0,0,0,1
286,0,0.615384615384615,0,0.40000000000000036,0.6111111111111116,0.3599999999999999,0.8571428571428568,0,0,0.5,1,0,1,0,0,1
546,0,0.5384615384615383,0,0.40000000000000036,0.6111111111111116,0.2400000000000002,0.5,0,0,0.3888888888888884,1,0,0,0,0,0
